site,species,microsite,percent.cover,abundance,richness
Carrizo,ephedra,shrub,65,53,3
Carrizo,ephedra,shrub,90,81,2
Carrizo,ephedra,shrub,45,22,3
Carrizo,ephedra,shrub,70,49,3
Carrizo,ephedra,shrub,85,39,3
Carrizo,ephedra,shrub,98,65,3
Carrizo,ephedra,shrub,75,22,3
Carrizo,ephedra,shrub,100,39,3
Carrizo,ephedra,shrub,65,21,2
Carrizo,ephedra,shrub,95,20,3
Carrizo,ephedra,shrub,70,15,1
Carrizo,ephedra,shrub,40,38,4
Carrizo,ephedra,shrub,60,24,4
Carrizo,ephedra,shrub,90,18,2
Carrizo,ephedra,shrub,90,35,4
Carrizo,ephedra,shrub,55,25,2
Carrizo,ephedra,shrub,70,28,2
Carrizo,ephedra,shrub,50,33,3
Carrizo,ephedra,shrub,60,34,3
Carrizo,ephedra,shrub,40,40,4
Carrizo,ephedra,shrub,95,32,3
Carrizo,ephedra,shrub,90,15,3
Carrizo,ephedra,shrub,90,58,4
Carrizo,ephedra,shrub,100,41,5
Carrizo,ephedra,shrub,90,45,5
Carrizo,ephedra,shrub,90,29,4
Carrizo,ephedra,shrub,95,58,4
Carrizo,ephedra,shrub,80,30,3
Carrizo,ephedra,shrub,95,35,5
Carrizo,ephedra,shrub,90,29,3
Carrizo,ephedra,open,55,75,3
Carrizo,ephedra,open,70,83,5
Carrizo,ephedra,open,40,65,4
Carrizo,ephedra,open,25,35,3
Carrizo,ephedra,open,30,67,4
Carrizo,ephedra,open,40,78,4
Carrizo,ephedra,open,70,71,4
Carrizo,ephedra,open,20,57,3
Carrizo,ephedra,open,60,58,3
Carrizo,ephedra,open,60,82,2
Carrizo,ephedra,open,80,37,2
Carrizo,ephedra,open,40,12,1
Carrizo,ephedra,open,75,34,3
Carrizo,ephedra,open,95,36,2
Carrizo,ephedra,open,70,45,3
Carrizo,ephedra,open,90,56,2
Carrizo,ephedra,open,40,48,3
Carrizo,ephedra,open,70,59,3
Carrizo,ephedra,open,60,52,3
Carrizo,ephedra,open,80,67,3
Carrizo,ephedra,open,60,33,2
Carrizo,ephedra,open,90,51,2
Carrizo,ephedra,open,85,56,2
Carrizo,ephedra,open,75,63,3
Carrizo,ephedra,open,95,52,2
Carrizo,ephedra,open,60,41,2
Carrizo,ephedra,open,100,65,3
Carrizo,ephedra,open,80,28,2
Carrizo,ephedra,open,60,34,2
Carrizo,ephedra,open,80,38,2
Mojave,larrea,shrub,30,205,4
Mojave,larrea,open,4,198,4
Mojave,larrea,shrub,25,68,5
Mojave,larrea,open,1,92,5
Mojave,larrea,shrub,20,232,3
Mojave,larrea,open,8,163,5
Mojave,larrea,shrub,50,62,5
Mojave,larrea,open,5,163,5
Mojave,larrea,shrub,20,143,4
Mojave,larrea,open,10,212,5
Mojave,larrea,shrub,15,187,5
Mojave,larrea,open,4,153,8
Mojave,larrea,shrub,40,122,5
Mojave,larrea,open,4,131,4
Mojave,larrea,shrub,25,66,4
Mojave,larrea,open,2,220,5
Mojave,larrea,shrub,35,64,5
Mojave,larrea,open,2,164,5
Mojave,larrea,shrub,20,82,5
Mojave,larrea,open,15,115,6
Mojave,larrea,shrub,8,122,5
Mojave,larrea,open,5,118,3
Mojave,larrea,shrub,5,178,4
Mojave,larrea,open,4,176,4
Mojave,larrea,shrub,25,133,4
Mojave,larrea,open,5,149,5
Mojave,larrea,shrub,8,160,4
Mojave,larrea,open,10,110,4
Mojave,larrea,shrub,4,119,4
Mojave,larrea,open,2,125,5
Mojave,larrea,shrub,40,105,5
Mojave,larrea,open,2,149,4
Mojave,larrea,shrub,95,48,3
Mojave,larrea,open,1,166,4
Mojave,larrea,shrub,5,102,5
Mojave,larrea,open,5,119,4
Mojave,larrea,shrub,50,115,6
Mojave,larrea,open,2,146,4
Mojave,larrea,shrub,10,111,3
Mojave,larrea,open,2,115,3
Mojave,larrea,shrub,20,126,6
Mojave,larrea,open,8,109,2
Mojave,larrea,shrub,4,92,4
Mojave,larrea,open,2,156,4
Mojave,larrea,shrub,45,118,4
Mojave,larrea,open,5,119,4
Mojave,larrea,shrub,8,120,5
Mojave,larrea,open,4,178,4
Mojave,larrea,shrub,5,212,4
Mojave,larrea,open,5,234,4
Mojave,larrea,shrub,2,142,4
Mojave,larrea,open,4,103,2
Mojave,larrea,shrub,85,23,6
Mojave,larrea,open,2,151,5
Mojave,larrea,shrub,100,17,3
Mojave,larrea,open,5,99,5
Mojave,larrea,shrub,60,84,4
Mojave,larrea,open,5,157,4
Mojave,larrea,shrub,85,96,4
Mojave,larrea,open,20,96,5
Mojave,larrea,shrub,60,73,3
Mojave,larrea,open,10,115,5
Mojave,larrea,shrub,45,126,2
Mojave,larrea,open,1,212,4
Mojave,larrea,shrub,55,84,3
Mojave,larrea,open,5,244,2
Mojave,larrea,shrub,70,156,3
Mojave,larrea,open,3,146,5
Mojave,larrea,shrub,50,86,3
Mojave,larrea,open,18,204,3
Mojave,larrea,shrub,25,82,4
Mojave,larrea,open,1,49,3
Mojave,larrea,shrub,80,93,4
Mojave,larrea,open,4,85,3
Mojave,larrea,shrub,80,228,4
Mojave,larrea,open,5,70,2
Mojave,larrea,shrub,75,121,2
Mojave,larrea,open,1,140,3
Mojave,larrea,shrub,10,66,4
Mojave,larrea,open,3,80,5
Mojave,larrea,shrub,30,86,4
Mojave,larrea,open,2,224,4
Mojave,larrea,shrub,30,108,3
Mojave,larrea,open,1,85,4
Mojave,larrea,shrub,4,135,4
Mojave,larrea,open,2,222,5
Mojave,larrea,shrub,5,324,3
Mojave,larrea,open,4,354,4
Mojave,larrea,shrub,75,158,2
Mojave,larrea,open,4,104,4
Mojave,larrea,shrub,3,58,4
Mojave,larrea,open,2,145,4
Mojave,larrea,shrub,85,164,2
Mojave,larrea,open,1,136,5
Mojave,larrea,shrub,45,104,2
Mojave,larrea,open,3,144,4
Mojave,larrea,shrub,45,98,2
Mojave,larrea,open,3,93,4
Mojave,larrea,shrub,65,140,3
Mojave,larrea,open,1,180,3
Mojave,larrea,shrub,55,124,2
Mojave,larrea,open,8,182,3
Mojave,larrea,shrub,65,104,6
Mojave,larrea,open,1,164,2
Mojave,larrea,shrub,60,201,2
Mojave,larrea,open,1,196,3
Mojave,larrea,shrub,65,97,2
Mojave,larrea,open,3,212,4
Mojave,larrea,shrub,45,83,2
Mojave,larrea,open,1,154,3
Mojave,larrea,shrub,65,142,2
Mojave,larrea,open,2,168,4
Mojave,larrea,shrub,50,91,3
Mojave,larrea,open,2,137,4
Mojave,larrea,shrub,55,154,4
Mojave,larrea,open,1,127,5
Mojave,buckhorn,shrub,2,2,4
Mojave,buckhorn,open,4,4,1
Mojave,buckhorn,shrub,40,40,2
Mojave,buckhorn,open,2,2,2
Mojave,buckhorn,shrub,3,3,2
Mojave,buckhorn,open,5,5,3
Mojave,buckhorn,shrub,1,1,2
Mojave,buckhorn,open,1,1,3
Mojave,buckhorn,shrub,2,2,2
Mojave,buckhorn,open,1,1,2
Mojave,buckhorn,shrub,2,2,2
Mojave,buckhorn,open,0,0,0
Mojave,buckhorn,open,8,8,6
Mojave,buckhorn,shrub,20,20,5
Mojave,buckhorn,open,40,40,7
Mojave,buckhorn,shrub,55,55,4
Mojave,buckhorn,shrub,40,40,5
Mojave,buckhorn,open,5,5,5
Mojave,buckhorn,shrub,50,50,7
Mojave,buckhorn,open,1,1,4
Mojave,buckhorn,shrub,5,5,6
Mojave,buckhorn,open,10,10,5
Mojave,buckhorn,shrub,5,5,4
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,open,15,15,5
Mojave,buckhorn,shrub,15,15,7
Mojave,buckhorn,shrub,4,4,6
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,open,1,1,4
Mojave,buckhorn,shrub,15,15,8
Mojave,buckhorn,open,10,10,4
Mojave,buckhorn,shrub,15,15,5
Mojave,buckhorn,shrub,8,8,4
Mojave,buckhorn,open,1,1,2
Mojave,buckhorn,open,1,1,5
Mojave,buckhorn,shrub,20,20,6
Mojave,buckhorn,open,10,10,6
Mojave,buckhorn,shrub,15,15,6
Mojave,buckhorn,shrub,1,1,5
Mojave,buckhorn,open,1,1,5
Mojave,buckhorn,shrub,20,20,7
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,open,5,5,4
Mojave,buckhorn,shrub,40,40,6
Mojave,buckhorn,shrub,2,2,5
Mojave,buckhorn,open,10,10,3
Mojave,buckhorn,open,10,10,5
Mojave,buckhorn,shrub,15,15,8
Mojave,buckhorn,open,7,7,5
Mojave,buckhorn,shrub,20,20,5
Mojave,buckhorn,open,8,8,6
Mojave,buckhorn,shrub,10,10,6
Mojave,buckhorn,open,10,10,7
Mojave,buckhorn,shrub,15,15,3
Mojave,buckhorn,open,20,20,4
Mojave,buckhorn,shrub,15,15,5
Mojave,buckhorn,open,10,10,6
Mojave,buckhorn,shrub,5,5,5
Mojave,buckhorn,shrub,40,40,3
Mojave,buckhorn,open,2,2,3
Mojave,buckhorn,open,10,10,6
Mojave,buckhorn,shrub,20,20,4
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,shrub,15,15,6
Mojave,buckhorn,open,2,2,3
Mojave,buckhorn,shrub,50,50,6
Mojave,buckhorn,open,10,10,6
Mojave,buckhorn,shrub,30,30,6
Mojave,buckhorn,open,15,15,5
Mojave,buckhorn,shrub,5,5,6
Mojave,buckhorn,open,2,2,6
Mojave,buckhorn,shrub,2,2,5
Mojave,buckhorn,open,5,5,4
Mojave,buckhorn,shrub,15,15,4
Mojave,buckhorn,shrub,50,50,5
Mojave,buckhorn,open,1,1,2
Mojave,buckhorn,shrub,1,1,4
Mojave,buckhorn,open,5,5,4
Mojave,buckhorn,shrub,2,2,5
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,open,5,5,5
Mojave,buckhorn,shrub,5,5,6
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,shrub,15,15,4
Mojave,buckhorn,shrub,35,35,4
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,open,15,15,2
Mojave,buckhorn,shrub,60,60,4
Mojave,buckhorn,shrub,10,10,3
Mojave,buckhorn,open,10,10,3
Mojave,buckhorn,shrub,5,5,4
Mojave,buckhorn,open,5,5,3
Mojave,buckhorn,open,5,5,4
Mojave,buckhorn,shrub,30,30,6
Mojave,buckhorn,open,30,30,5
Mojave,buckhorn,shrub,10,10,5
Mojave,buckhorn,open,5,5,3
Mojave,buckhorn,shrub,25,25,3
Mojave,buckhorn,open,10,10,5
Mojave,buckhorn,shrub,40,40,4
Mojave,buckhorn,open,10,10,5
Mojave,buckhorn,shrub,20,20,5
Mojave,buckhorn,shrub,5,5,3
Mojave,buckhorn,open,1,1,3
Mojave,buckhorn,open,5,5,4
Mojave,buckhorn,shrub,15,15,5
Mojave,buckhorn,shrub,10,10,3
Mojave,buckhorn,open,1,1,2
Mojave,buckhorn,open,5,5,2
Mojave,buckhorn,shrub,10,10,6
Mojave,buckhorn,open,2,2,4
Mojave,buckhorn,shrub,20,20,6
Mojave,buckhorn,open,5,5,4
Mojave,buckhorn,shrub,50,50,3
Mojave,buckhorn,open,2,2,5
Mojave,buckhorn,shrub,10,10,4
Mojave,buckhorn,open,5,5,5
Mojave,buckhorn,shrub,25,25,7
Mojave,buckhorn,open,5,5,5
Mojave,buckhorn,shrub,45,45,5
Mojave,buckhorn,open,2,2,5
Mojave,buckhorn,shrub,10,10,4
Mojave,buckhorn,open,10,10,6
Mojave,buckhorn,shrub,15,15,7
Mojave,buckhorn,open,10,10,2
Mojave,buckhorn,shrub,35,35,4
Mojave,buckhorn,open,10,10,4
Mojave,buckhorn,shrub,55,55,4
Mojave,buckhorn,open,10,10,5
Mojave,buckhorn,shrub,25,25,7
Mojave,buckhorn,open,2,2,7
Mojave,buckhorn,shrub,25,25,5
